,170,603,601,690,637,704,701,714,XLK,XLV,XOP,QQQ,SHV,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2014-08-25,1293.11,297.77,326.34,380.2,245.33,536.57,279.26,334.43,35.236351013183594,53.970054626464844,261.4743347167969,91.70619201660156,95.54574584960938,13800.0,4268.0,5426.0,9.5,23.514389038085938,18.662012100219727,72.82515716552734,8.618825912475586,6.653383255004883
2014-08-26,1317.86,298.55,327.16,380.78,245.27,538.65,279.25,335.76,35.253902435302734,54.1656379699707,262.48358154296875,91.79842376708984,95.53710174560547,13840.0,4309.0,5474.0,9.510000228881836,23.499658584594727,18.837034225463867,72.5707015991211,8.62993049621582,6.6960673332214355
2014-08-27,1349.59,299.17,327.5,381.0,245.21,539.25,279.32,336.69,35.245121002197266,54.12310028076172,261.104248046875,91.8169174194336,95.53710174560547,13980.0,4406.0,5582.0,9.460000038146973,23.8752384185791,18.97559928894043,72.98709869384766,8.618825912475586,6.68657922744751
2014-08-28,1338.0,299.56,328.02,381.74,245.53,541.17,279.46,336.45,35.19245529174805,54.10610580444336,262.61822509765625,91.71541595458984,95.53710174560547,13810.0,4385.0,5600.0,9.470000267028809,23.654312133789062,18.756813049316406,73.220458984375,8.579954147338867,6.667611598968506
2014-08-29,,,,,,,,,35.35042953491211,54.30167007446289,265.94891357421875,92.05677032470703,95.54574584960938,,,,9.479999542236328,24.243453979492188,19.208961486816406,72.89376831054688,8.607720375061035,6.677095890045166
2014-08-31,1333.57,299.88,328.59,382.58,245.59,543.09,279.79,336.73,,,,,,13980.0,4352.0,5608.0,,,,,,
2014-09-01,1336.41,299.86,328.39,382.49,245.55,542.92,279.82,337.37,,,,,,14130.0,4386.0,5678.0,,,,,,
2014-09-02,1344.1,299.72,327.9,381.97,245.49,541.32,279.81,338.55,35.35920715332031,54.27617645263672,261.0033874511719,92.32434844970703,95.54574584960938,14160.0,4408.0,5678.0,9.479999542236328,24.405471801757812,19.289182662963867,72.17820739746094,8.627260208129883,6.691325664520264
2014-09-03,1370.87,299.46,327.73,381.87,245.38,540.89,279.81,338.7,35.16613006591797,54.52275085449219,261.3398742675781,91.780029296875,95.54574584960938,14260.0,4392.0,5623.0,9.470000267028809,24.39811134338379,19.33293914794922,72.44265747070312,8.655183792114258,6.705549716949463
2014-09-04,1371.73,299.57,328.09,382.57,245.34,542.91,279.83,338.76,35.14857864379883,54.25065612792969,255.1157989501953,91.6969985961914,95.53710174560547,14210.0,4413.0,5622.0,9.470000267028809,24.560123443603516,19.383989334106445,72.34152221679688,8.638432502746582,6.705549716949463
2014-09-05,,,,,,,,,35.35920715332031,54.56526184082031,257.90826416015625,92.15827941894531,95.53710174560547,,,,9.470000267028809,24.31710433959961,19.493377685546875,72.38817596435547,8.649602890014648,6.700808525085449
2014-09-07,1376.98,299.56,328.11,382.55,245.29,542.59,279.87,338.81,,,,,,14210.0,4443.0,5664.0,,,,,,
2014-09-08,1374.09,299.58,328.17,382.62,245.34,542.64,279.92,338.6,35.411861419677734,54.57379150390625,252.4243621826172,92.33358001708984,95.53710174560547,14260.0,4477.0,5707.0,9.470000267028809,24.700054168701172,19.5152530670166,71.94485473632812,8.638432502746582,6.6960673332214355
2014-09-09,1352.04,299.21,327.63,381.86,245.33,540.24,279.95,337.77,35.15736389160156,54.429222106933594,249.32913208007812,91.56778717041016,95.53710174560547,14400.0,4455.0,5666.0,9.470000267028809,24.376012802124023,19.099578857421875,70.84819030761719,8.632848739624023,6.658127784729004
2014-09-10,1356.69,298.86,327.02,380.95,245.35,537.56,279.9,337.29,35.36798095703125,54.81187057495117,250.06919860839844,92.32434844970703,95.53710174560547,14270.0,4500.0,5704.0,9.5,24.309736251831055,19.092275619506836,72.3337631225586,8.638432502746582,6.648643970489502
2014-09-11,1359.31,299.18,327.3,381.23,245.37,538.34,279.93,338.12,35.44697189331055,54.65879440307617,251.68406677246094,92.25051879882812,95.53710174560547,14490.0,4470.0,5720.0,9.470000267028809,24.25818634033203,19.381086349487305,72.30264282226562,8.627260208129883,6.643902778625488
2014-09-12,,,,,,,,,35.297767639160156,54.259159088134766,246.772216796875,91.780029296875,95.53710174560547,,,,9.470000267028809,24.413494110107422,18.970598220825195,72.59818267822266,8.638432502746582,6.643902778625488
2014-09-14,1345.83,298.69,326.63,380.55,245.32,536.46,279.87,337.5,,,,,,14650.0,4370.0,5716.0,,,,,,
2014-09-15,1345.17,298.61,326.81,380.93,245.31,537.5,279.86,337.26,35.08715057373047,54.11460494995117,247.20970153808594,90.89430236816406,95.54574584960938,14720.0,4300.0,5691.0,9.5,24.3321533203125,18.875308990478516,72.69933319091797,8.60492992401123,6.667611598968506
2014-09-16,1345.84,298.82,327.36,381.88,244.95,540.05,279.85,337.61,35.35042953491211,54.8543815612793,251.4823760986328,91.6877212524414,95.54574584960938,15100.0,4330.0,5718.0,9.489999771118164,24.324748992919922,18.853309631347656,72.9170913696289,8.57142448425293,6.658127784729004
2014-09-17,1352.83,298.88,327.47,382.01,244.91,540.56,279.79,337.65,35.42062759399414,54.89689254760742,250.80955505371094,91.82612609863281,95.54574584960938,15050.0,4288.0,5751.0,9.510000228881836,24.376516342163086,18.904624938964844,72.7459945678711,8.588175773620605,6.700808525085449
2014-09-18,1354.82,298.79,327.33,381.82,244.82,540.27,279.75,337.37,35.631263732910156,55.3050537109375,246.83969116210938,92.51805877685547,95.54574584960938,15120.0,4249.0,5763.0,9.479999542236328,24.406103134155273,18.875308990478516,72.70710754394531,8.57142448425293,6.7387495040893555
2014-09-19,,,,,,,,,35.555477142333984,55.36564636230469,243.79466247558594,92.46077728271484,95.55439758300781,,,,9.510000228881836,24.12506675720215,18.55277442932129,73.39154052734375,8.59376049041748,6.703439235687256
2014-09-21,1362.68,298.8,327.42,382.09,244.79,541.03,279.72,337.14,,,,,,14910.0,4318.0,5750.0,,,,,,
2014-09-22,1364.68,298.99,327.92,382.94,244.73,543.67,279.67,337.32,35.31748580932617,55.06697082519531,236.41000366210938,91.60070037841797,95.55439758300781,14760.0,4325.0,5707.0,9.479999542236328,23.681316375732422,18.23758316040039,73.05709075927734,8.504412651062012,6.674812316894531
2014-09-23,1356.59,299.27,328.2,383.25,244.74,544.64,279.73,337.55,35.23816680908203,54.742698669433594,236.37623596191406,91.35099029541016,95.55439758300781,14730.0,4350.0,5728.0,9.510000228881836,23.807043075561523,17.973690032958984,72.73043060302734,8.532336235046387,6.655726909637451
2014-09-24,,,,,,,,,35.46733474731445,55.69845962524414,239.107666015625,92.33126831054688,95.55439758300781,,,,9.569999694824219,23.895793914794922,18.098304748535156,73.88932037353516,8.537922859191895,6.69866943359375
2014-09-25,,,,,,,,,34.69169998168945,54.78536605834961,233.88108825683594,90.38919067382812,95.56307220458984,,,,9.46500015258789,23.829233169555664,17.79776382446289,73.2359619140625,8.476496696472168,6.636643886566162
2014-09-26,,,,,,,,,35.07069778442383,54.95604705810547,237.05072021484375,91.35099029541016,95.56307220458984,,,,9.569999694824219,23.851423263549805,17.951698303222656,73.65596771240234,8.482087135314941,6.679582595825195
2014-09-28,1355.47,299.46,328.65,383.99,244.66,546.76,279.64,337.69,,,,,,14950.0,4364.0,5707.0,,,,,,
2014-09-29,1350.26,299.4,328.57,383.9,244.59,546.4,279.68,337.41,35.06188201904297,54.83657455444336,239.74830627441406,91.23075103759766,95.56307220458984,14950.0,4354.0,5650.0,9.5600004196167,23.673917770385742,17.570528030395508,74.83821105957031,8.442988395690918,6.631871700286865
2014-09-30,1366.36,299.27,328.36,383.55,244.59,545.39,279.66,337.26,35.16766357421875,54.53789520263672,232.09385681152344,91.3602294921875,95.52842712402344,14920.0,4403.0,5635.0,9.5600004196167,23.770061492919922,17.563196182250977,73.74153137207031,8.454161643981934,6.545993328094482
2014-10-01,1359.49,299.39,328.69,384.09,244.59,546.95,279.66,337.25,34.621192932128906,53.966148376464844,225.3836212158203,89.89905548095703,95.54574584960938,14960.0,4419.0,5654.0,9.619999885559082,23.489025115966797,17.17469024658203,73.25933074951172,8.5187406539917,6.493512153625488
2014-10-02,1363.74,299.58,328.79,384.19,244.57,547.36,279.64,337.21,34.60355758666992,53.85520935058594,224.10226440429688,89.89905548095703,95.54574584960938,15130.0,4365.0,5650.0,9.5600004196167,23.888391494750977,17.18202781677246,73.20486450195312,8.462581634521484,6.431483268737793
2014-10-03,,,,,,,,,34.885616302490234,54.96455764770508,220.93260192871094,90.78683471679688,95.52842712402344,,,,9.520000457763672,23.866209030151367,17.17469024658203,73.78042602539062,8.395195960998535,6.545993328094482
2014-10-05,1377.32,299.9,328.9,384.13,244.57,547.33,279.62,337.88,,,,,,15330.0,4381.0,5683.0,,,,,,
2014-10-06,1371.09,300.26,329.39,384.65,244.52,548.91,279.63,338.56,34.894412994384766,54.70856475830078,219.44888305664062,90.59268188476562,95.53710174560547,15190.0,4412.0,5647.0,9.539999961853027,23.895793914794922,17.262657165527344,72.9870834350586,8.44573974609375,6.555533409118652
2014-10-07,1372.87,300.6,329.69,385.02,244.46,549.94,279.72,339.06,34.34794998168945,53.83814239501953,213.31192016601562,89.30718231201172,95.54574584960938,15200.0,4490.0,5686.0,9.539999961853027,23.829233169555664,17.22600555419922,72.18596649169922,8.456971168518066,6.507823944091797
2014-10-08,,,,,,,,,35.00019836425781,55.2120475769043,215.5037078857422,91.04576873779297,95.54574584960938,,,,9.539999961853027,24.272977828979492,17.3212947845459,72.97931671142578,8.451350212097168,6.579390525817871
