,TSLA,ADBE,JNJ,EOI,AAPL,AMZN,MSFT,GOOG,META,NVDA,AJG,BRO,BAC,CSL,593038,273011,442012,1081124
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,closingPrice
2014-07-06,,,,,,,,,,,,,,,5495.0,13930.0,252.3,20640.0
2014-07-07,14.843999862670898,72.68000030517578,80.97859191894531,6.511057376861572,21.222213745117188,16.677499771118164,35.74370574951172,28.999788284301758,65.15611267089844,0.4450308382511139,37.82130432128906,13.82696533203125,13.019838333129883,76.52098846435547,5397.0,13840.0,260.5,20420.0
2014-07-08,14.604666709899902,71.13999938964844,80.40815734863281,6.511057376861572,21.085105895996094,16.190500259399414,35.5649528503418,28.443950653076172,62.63129425048828,0.44146105647087097,37.68309783935547,13.80438232421875,12.725790977478027,76.03577423095703,5379.0,13700.0,260.5,20440.0
2014-07-09,14.870667457580566,71.56999969482422,80.65155029296875,6.511057376861572,21.09395408630371,16.49850082397461,35.471317291259766,28.692485809326172,64.83676147460938,0.4547882080078125,37.95951461791992,13.7908296585083,12.7421236038208,76.34452819824219,5451.0,13720.0,250.3,20620.0
2014-07-10,14.630666732788086,71.69999694824219,80.4690170288086,6.534475326538086,21.016555786132812,16.395999908447266,35.488338470458984,28.444448471069336,64.73696899414062,0.4524083435535431,37.87009811401367,13.673383712768555,12.611437797546387,75.63877868652344,5441.0,13500.0,257.3,20650.0
2014-07-11,14.541999816894531,72.26000213623047,79.93660736083984,6.548533916473389,21.056360244750977,17.309999465942383,35.82883834838867,28.84688377380371,66.20394897460938,0.45336031913757324,38.03268814086914,13.677899360656738,12.562429428100586,75.96520233154297,,,,
2014-07-13,,,,,,,,,,,,,,,5474.0,13590.0,247.5,21120.0
2014-07-14,15.113332748413086,72.87999725341797,80.14957427978516,6.581320762634277,21.328359603881836,17.766000747680664,35.871402740478516,29.130281448364258,67.76075744628906,0.4590718746185303,37.89447784423828,13.736623764038086,12.717623710632324,76.33570861816406,5507.0,13690.0,247.5,21280.0
2014-07-15,14.638667106628418,72.29000091552734,78.55237579345703,6.581320762634277,21.078474044799805,17.722000122070312,36.13528823852539,29.12579917907715,67.0322494506836,0.4609758257865906,37.829429626464844,13.741140365600586,12.913658142089844,75.91226959228516,5502.0,13640.0,247.5,20990.0
2014-07-16,14.477333068847656,72.37999725341797,77.74614715576172,6.581320762634277,20.959049224853516,17.795000076293945,37.52280044555664,29.02021026611328,67.52125549316406,0.46049973368644714,37.618045806884766,13.7908296585083,12.668612480163574,76.0004653930664,5477.0,13700.0,247.5,21360.0
2014-07-17,14.359999656677246,71.38999938964844,76.33909606933594,6.534475326538086,20.585338592529297,17.622499465942383,37.90586853027344,28.575439453125,66.27381134033203,0.4593099057674408,37.447322845458984,13.709521293640137,12.415407180786133,75.17122650146484,5492.0,13730.0,244.3,21410.0
2014-07-18,14.668000221252441,72.55000305175781,77.42669677734375,6.5391621589660645,20.88166618347168,17.933000564575195,38.04207229614258,29.63880729675293,68.2796859741211,0.4388432502746582,37.756263732910156,13.71855354309082,12.652276992797852,76.28278350830078,,,,
2014-07-20,,,,,,,,,,,,,,,5396.0,13720.0,231.6,21520.0
2014-07-21,14.702667236328125,71.95999908447266,77.02359771728516,6.5391621589660645,20.7733154296875,17.988000869750977,38.16975021362305,29.359392166137695,69.25767517089844,0.44146105647087097,37.593658447265625,13.650796890258789,12.676782608032227,75.67406463623047,5436.0,13790.0,231.6,21640.0
2014-07-22,14.638667106628418,72.26000213623047,77.936279296875,6.532562732696533,20.9457950592041,18.04199981689453,38.161251068115234,29.621871948242188,69.12793731689453,0.43955713510513306,37.772525787353516,14.260611534118652,12.676782608032227,73.11572265625,5437.0,13830.0,239.3,21670.0
2014-07-23,14.832667350769043,72.04000091552734,77.72333526611328,6.598548889160156,21.491994857788086,17.906999588012695,38.195289611816406,29.683631896972656,71.14380645751953,0.4302757978439331,37.927005767822266,14.25157356262207,12.676782608032227,73.92736053466797,5425.0,13920.0,239.3,21590.0
2014-07-24,14.902667045593262,72.80000305175781,77.73091888427734,6.617401123046875,21.45661163330078,17.930500030517578,37.79519271850586,29.552640914916992,74.82624053955078,0.4309897720813751,37.91886901855469,14.328363418579102,12.758461952209473,73.94498443603516,5448.0,14010.0,239.3,21550.0
2014-07-25,14.904666900634766,72.62000274658203,77.66248321533203,6.607975482940674,21.5981388092041,16.20050048828125,37.880332946777344,29.336978912353516,75.03581237792969,0.4233742654323578,37.105857849121094,14.283197402954102,12.733956336975098,73.971435546875,,,,
2014-07-27,,,,,,,,,,,,,,,5471.0,14040.0,239.3,21550.0
2014-07-28,14.98799991607666,72.69999694824219,77.66248321533203,6.598548889160156,21.89667320251465,16.02050018310547,37.42917251586914,29.415672302246094,74.766357421875,0.4217083752155304,37.252197265625,14.274164199829102,12.660446166992188,73.25688934326172,5487.0,13980.0,239.3,21400.0
2014-07-29,15.000666618347168,72.2699966430664,77.54840087890625,6.612690448760986,21.755144119262695,16.0,37.3610725402832,29.167139053344727,73.558837890625,0.42313629388809204,36.66682434082031,14.061856269836426,12.529755592346191,72.11885833740234,5488.0,13840.0,248.5,21570.0
2014-07-30,15.261333465576172,71.88999938964844,77.80699157714844,6.532562732696533,21.704280853271484,16.125499725341797,37.09717559814453,29.25728988647461,74.52685546875,0.4302757978439331,37.276580810546875,14.079925537109375,12.725790977478027,72.1276626586914,5515.0,13490.0,248.5,21560.0
