,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2016-04-08,,,,39.86517333984375,96.10970306396484,,,102.66846466064453,110.46522521972656,91.21381378173828,118.43000030517578,,,,,,,14.6899995803833,
2016-04-10,342.88,401.6,236.68,,,459.69,600.24,,,,,1280.22,757.14,301.46,323.22,318.52,864.49,,279.86
2016-04-11,343.32,401.25,236.84,39.75617980957031,96.09228515625,459.21,599.0,102.29173278808594,110.46522521972656,91.20616149902344,120.02999877929688,1269.49,765.66,301.38,323.23,318.5,860.94,14.989999771118164,279.86
2016-04-12,343.61,400.93,236.84,40.028663635253906,96.10970306396484,458.79,597.89,103.14885711669922,110.2287826538086,90.84657287597656,120.05000305175781,1274.19,765.71,301.37,323.21,318.59,860.08,15.574999809265137,279.84
2016-04-13,344.11,400.66,236.86,40.43739318847656,96.10970306396484,458.41,596.87,104.46753692626953,110.17627716064453,91.16023254394531,118.7699966430664,1288.14,777.66,301.69,323.21,318.89,872.64,15.423999786376953,279.87
2016-04-14,344.71,400.88,236.9,40.428321838378906,96.10102844238281,458.7,597.55,104.4769515991211,110.04499053955078,91.09902954101562,117.11000061035156,1282.44,777.12,302.07,323.24,319.28,870.17,15.267999649047852,279.88
2016-04-15,,,,40.273895263671875,96.10102844238281,,,104.21322631835938,110.2287826538086,91.48165893554688,117.91999816894531,,,,,,,15.015999794006348,
2016-04-17,344.74,401.43,236.88,,,459.45,599.54,,,,,1320.0,784.54,302.42,323.25,319.57,890.14,,279.91
2016-04-18,344.51,401.17,236.71,40.44648742675781,96.11837005615234,459.08,598.61,104.76892852783203,110.17627716064453,91.5810775756836,117.73999786376953,1318.27,786.41,302.27,323.26,319.44,887.62,14.910699844360352,279.95
2016-04-19,344.8,400.97,236.78,40.21941375732422,96.11837005615234,458.83,597.85,104.12841796875,110.04499053955078,91.74945068359375,119.58000183105469,1337.37,788.43,302.41,323.28,319.64,897.06,15.253999710083008,279.88
2016-04-20,345.54,401.15,236.94,40.30115509033203,96.11837005615234,459.06,598.41,104.21322631835938,109.79991912841797,91.49693298339844,118.97000122070312,1332.67,787.55,302.39,323.26,319.53,893.53,15.869999885559082,279.9
2016-04-21,345.35,400.57,236.96,40.15583419799805,96.11837005615234,458.29,596.36,104.22260284423828,109.64225769042969,91.4586410522461,119.41999816894531,1339.9,790.72,302.64,323.28,319.82,901.55,15.729999542236328,279.88
2016-04-22,,,,39.45643997192383,96.12709045410156,,,102.6496353149414,109.61604309082031,91.55812072753906,117.88999938964844,,,,,,,15.699999809265137,
2016-04-24,345.81,400.72,237.02,,,458.5,596.83,,,,,1335.46,799.92,302.76,323.27,320.02,901.18,,279.88
2016-04-25,346.33,400.82,236.91,39.46552276611328,96.10970306396484,458.64,597.12,102.6496353149414,109.510986328125,91.34387969970703,118.2300033569336,1314.81,795.23,302.88,323.29,320.44,888.69,15.699999809265137,279.88
2016-04-26,346.21,400.42,236.83,39.2747917175293,96.10970306396484,458.09,595.66,102.15044403076172,109.41468811035156,91.30565643310547,118.69999694824219,1331.91,793.69,302.74,323.27,320.22,896.74,15.828499794006348,279.87
2016-04-27,346.43,400.48,236.89,39.0931282043457,96.14453125,458.17,596.03,101.33096313476562,109.74732971191406,91.88716125488281,119.04000091552734,1308.38,786.15,302.82,323.26,320.41,884.79,16.309900283813477,279.87
2016-04-28,,,,38.60264587402344,96.13581848144531,,,100.10646057128906,109.95744323730469,91.97128295898438,121.29000091552734,,,,,,,16.360000610351562,
2016-04-29,,,,38.266571044921875,96.12709045410156,,,99.5790023803711,109.97498321533203,92.07080841064453,123.6500015258789,,,,,,,16.440000534057617,
2016-05-01,346.19,401.33,236.86,,,459.31,599.01,,,,,1296.53,778.25,302.98,323.28,320.74,879.05,,279.87
2016-05-02,345.67,401.18,236.73,38.548133850097656,96.12016296386719,459.13,598.51,100.52095031738281,109.82421875,91.95184326171875,123.23999786376953,1316.13,781.06,302.86,323.26,320.58,886.4,16.030000686645508,279.84
2016-05-03,345.28,401.57,236.78,38.19389724731445,96.12886810302734,459.66,599.86,99.58843231201172,110.17474365234375,92.11296844482422,122.95999908447266,1299.03,781.61,303.05,323.29,320.54,875.71,15.65999984741211,279.82
2016-05-04,344.68,401.46,236.79,38.075828552246094,96.12886810302734,459.51,599.5,98.94794464111328,110.29743957519531,91.95954132080078,122.20999908447266,1291.07,775.72,303.01,323.27,320.49,868.19,15.640000343322754,279.8
2016-05-05,345.12,401.74,236.84,38.093997955322266,96.14624786376953,459.9,600.54,98.91966247558594,110.44641876220703,92.14363861083984,122.06999969482422,1302.78,775.01,303.2,323.3,320.69,875.58,15.8100004196167,279.78
2016-05-06,,,,38.37556457519531,96.15498352050781,,,99.4471664428711,110.3149642944336,91.94417572021484,123.18000030517578,,,,,,,15.90999984741211,
2016-05-08,345.3,401.94,236.87,,,460.17,601.3,,,,,1312.66,774.61,303.18,323.29,320.6,878.58,,279.77
2016-05-09,344.85,401.98,236.81,38.37556457519531,96.15498352050781,460.23,601.46,99.7297134399414,110.49899291992188,91.85212707519531,120.6500015258789,1340.73,774.74,303.2,323.3,320.62,896.32,15.5,279.76
2016-05-10,344.66,401.87,236.68,38.8751220703125,96.14624786376953,460.08,601.14,101.09547424316406,110.48148345947266,92.00556945800781,120.9800033569336,1351.72,777.93,303.15,323.26,320.64,906.91,15.89799976348877,279.75
2016-05-11,,,,38.59355545043945,96.14624786376953,,,100.18182373046875,110.47273254394531,92.10533142089844,122.12000274658203,,,,,,,16.518999099731445,
2016-05-12,,,,38.484554290771484,96.12886810302734,,,99.7391357421875,110.34127044677734,91.91349792480469,121.16000366210938,,,,,,,16.6914005279541,
2016-05-13,,,,38.3392219543457,96.12886810302734,,,99.37179565429688,110.46397399902344,92.0822525024414,121.70999908447266,,,,,,,16.510000228881836,
2016-05-15,344.94,402.02,236.76,,,460.28,601.71,,,,,1351.83,770.73,303.28,323.26,320.76,902.88,,279.75
2016-05-16,344.96,402.15,236.51,38.8751220703125,96.13752746582031,460.45,602.08,100.6151123046875,110.24486541748047,91.77539825439453,121.80000305175781,1346.16,773.55,303.33,323.27,320.67,897.21,16.95599937438965,279.76
2016-05-17,345.52,402.22,236.49,38.484554290771484,96.13752746582031,460.54,602.35,99.35295104980469,110.11346435546875,91.74469757080078,122.22000122070312,1331.15,773.22,303.42,323.3,320.84,891.29,17.219999313354492,279.76
2016-05-18,344.89,401.63,236.58,38.557220458984375,96.12886810302734,459.72,600.06,99.71087646484375,109.61387634277344,90.96215057373047,120.0999984741211,1354.08,774.98,303.1,323.31,320.74,904.16,17.12849998474121,279.86
2016-05-19,345.34,401.39,236.54,38.34832763671875,96.13752746582031,459.4,599.33,99.19283294677734,109.6664810180664,91.17691802978516,119.87000274658203,1390.85,771.72,302.6,323.28,320.96,926.53,17.09000015258789,279.85
2016-05-20,,,,38.81155014038086,96.12016296386719,,,100.2854232788086,109.7628402709961,91.23833465576172,119.70999908447266,,,,,,,16.921300888061523,
2016-05-22,344.46,401.4,236.37,,,459.43,599.49,,,,,1402.59,773.89,302.86,323.25,320.43,939.65,,279.82
2016-05-23,344.18,400.97,236.44,38.73888397216797,96.12886810302734,458.85,598.03,100.15357971191406,109.75408172607422,91.23833465576172,119.37000274658203,1395.77,780.88,302.96,323.23,320.05,934.32,16.909500122070312,279.81
2016-05-24,343.84,400.88,236.44,39.46552276611328,96.12016296386719,458.74,597.71,102.15983581542969,109.60513305664062,91.08492279052734,117.30000305175781,1421.55,788.23,303.01,323.22,320.0,946.89,17.1200008392334,279.8
2016-05-25,343.69,400.57,236.55,39.73801803588867,96.12886810302734,458.32,596.63,102.89452362060547,109.57009887695312,91.24604034423828,116.9800033569336,1471.45,798.24,303.04,323.22,319.9,974.69,17.415000915527344,279.8
2016-05-26,343.91,400.85,236.53,39.86517333984375,96.12886810302734,458.69,597.62,103.1959457397461,109.85928344726562,91.50691223144531,116.58000183105469,1463.19,792.98,303.26,323.24,320.2,969.32,17.35059928894043,279.81
2016-05-27,,,,40.055912017822266,96.11143493652344,,,103.73284912109375,109.63139343261719,91.4378662109375,115.62000274658203,,,,,,,17.34000015258789,
2016-05-29,344.07,401.34,236.57,,,459.35,599.36,,,,,1469.85,791.84,303.42,323.21,320.3,974.33,,279.82
2016-05-30,343.73,400.96,236.58,,,458.84,597.98,,,,,1477.43,798.81,303.48,323.24,320.12,979.28,,279.79
2016-05-31,343.64,400.8,236.6,40.137657165527344,96.12016296386719,458.63,597.3,103.9306411743164,109.736572265625,91.59898376464844,116.05999755859375,1461.95,804.12,303.61,323.24,320.2,969.32,17.5,279.78
2016-06-01,344.07,401.22,236.71,40.037750244140625,96.12100982666016,459.2,598.84,103.94007873535156,109.6751708984375,91.66356658935547,115.94000244140625,1459.41,803.24,303.87,323.25,320.35,965.36,17.15999984741211,279.76
2016-06-02,343.71,401.53,236.6,40.00141525268555,96.12971496582031,459.64,600.0,104.15670013427734,109.84185791015625,91.84819030761719,115.66999816894531,1460.41,804.66,303.77,323.25,320.33,962.65,17.304399490356445,279.73
2016-06-03,,,,39.910579681396484,96.12971496582031,,,103.66690063476562,110.49105834960938,92.5867919921875,118.87999725341797,,,,,,,17.006200790405273,
2016-06-05,344.3,402.26,236.59,,,460.61,602.34,,,,,1470.88,804.02,304.17,323.3,320.43,966.59,,279.77
2016-06-06,343.44,401.95,236.6,39.98325729370117,96.14714050292969,460.18,601.21,104.04367065429688,110.35948181152344,92.36371612548828,118.91999816894531,1467.88,803.11,304.3,323.31,320.4,964.8,17.46500015258789,279.78
2016-06-07,344.23,402.22,236.64,40.146759033203125,96.1558609008789,460.54,602.08,103.77994537353516,110.4735336303711,92.502197265625,118.81999969482422,1463.96,801.65,304.59,323.31,320.65,962.25,17.780000686645508,279.8
2016-06-08,344.99,402.48,236.76,40.22849655151367,96.1558609008789,460.89,602.9,103.95890045166016,110.49105834960938,92.8099136352539,120.58000183105469,1469.8,797.1,304.84,323.33,320.78,964.65,18.05699920654297,279.81
2016-06-09,345.65,402.89,236.85,40.237579345703125,96.1558609008789,461.44,604.13,103.78936004638672,110.57003784179688,92.94075775146484,121.25,1462.16,795.87,305.03,323.38,320.88,957.05,17.835800170898438,279.81
2016-06-10,,,,39.928749084472656,96.16456604003906,,,102.61194610595703,110.78936004638672,93.0484619140625,121.73999786376953,,,,,,,17.300100326538086,
2016-06-13,345.07,403.26,236.76,39.48369598388672,96.16456604003906,461.93,605.31,101.75482177734375,110.99112701416016,92.90995025634766,122.63999938964844,1446.29,783.96,304.8,323.37,320.8,945.19,17.38610076904297,279.83
2016-06-14,345.34,403.38,236.61,39.57451248168945,96.1558609008789,462.08,605.72,101.75482177734375,110.97358703613281,92.70220184326172,122.7699966430664,1438.47,777.04,304.47,323.38,320.5,940.31,17.114900588989258,279.86
2016-06-15,344.61,402.84,236.67,39.474605560302734,96.1558609008789,461.34,603.77,101.46283721923828,111.27191162109375,93.0484619140625,123.68000030517578,1435.62,778.92,304.42,323.38,320.6,942.06,16.75,279.92
2016-06-16,345.78,403.2,236.94,39.55635452270508,96.18199157714844,461.83,604.92,101.7642593383789,111.23681640625,93.1869125366211,122.37999725341797,1426.26,771.9,304.95,323.43,321.62,935.03,16.316600799560547,279.92
2016-06-17,,,,39.29257583618164,96.18199157714844,,,100.57141876220703,111.13154602050781,92.90995025634766,123.94999694824219,,,,,,,16.989599227905273,
2016-06-19,345.2,402.71,237.01,,,461.16,603.22,,,,,1431.74,776.29,304.94,323.36,321.53,933.28,,279.94
2016-06-20,344.03,402.1,237.05,39.456871032714844,96.16456604003906,460.33,601.1,101.20421600341797,110.82450866699219,92.79456329345703,123.20999908447266,1457.99,783.21,304.85,323.38,321.32,948.26,17.344999313354492,279.97
2016-06-21,344.41,401.97,237.21,39.73068618774414,96.16456604003906,460.16,600.61,101.52532958984375,110.70165252685547,92.70988464355469,120.83999633789062,1475.08,783.07,304.93,323.39,321.46,963.59,17.24959945678711,279.94
2016-06-22,344.55,402.08,237.23,39.593772888183594,96.18199157714844,460.32,601.05,101.27974700927734,110.83325958251953,92.87918090820312,120.9000015258789,1511.09,787.56,305.07,323.37,321.61,989.54,17.170299530029297,279.91
2016-06-23,344.54,401.96,237.2,40.132286071777344,96.1558609008789,460.16,600.64,102.7247314453125,110.51741790771484,92.78685760498047,120.11000061035156,1513.71,790.56,305.17,323.37,321.88,997.62,17.510000228881836,279.9
2016-06-24,,,,38.58977508544922,96.20813751220703,,,98.49372100830078,111.3508529663086,93.2254409790039,126.0,,,,,,,16.696300506591797,
2016-06-26,344.87,403.61,237.03,,,462.38,606.0,,,,,1487.22,767.75,303.87,323.45,320.54,980.55,,279.9
2016-06-27,345.3,404.29,236.83,37.81396484375,96.20813751220703,463.29,608.27,96.53877258300781,111.80708312988281,93.61779022216797,126.68000030517578,1503.97,761.48,303.79,323.5,320.3,989.66,16.200000762939453,279.91
2016-06-28,345.91,404.18,237.13,38.562400817871094,96.19070434570312,463.16,607.97,98.65424346923828,111.81581115722656,94.13329315185547,125.31999969482422,1508.47,769.8,304.47,323.49,320.67,999.31,16.774999618530273,279.89
2016-06-29,346.35,404.03,237.03,39.15567398071289,96.19070434570312,462.95,607.52,100.40144348144531,111.60525512695312,94.10247802734375,125.83999633789062,1495.77,775.52,305.19,323.45,321.45,992.58,17.280500411987305,279.9
2016-06-30,346.64,404.09,237.16,39.58464431762695,96.2168197631836,462.98,607.59,101.56307220458984,111.72808837890625,94.4333267211914,126.47000122070312,1487.28,776.86,305.73,323.5,322.11,982.58,17.09670066833496,280.08
2016-07-01,,,,39.67592239379883,96.23602294921875,,,102.07308197021484,111.89850616455078,94.9278793334961,128.41000366210938,,,,,,,17.149999618530273,
2016-07-03,347.39,404.71,237.21,,,463.83,609.72,,,,,1503.36,788.13,306.57,323.55,322.81,992.52,,280.02
2016-07-04,346.92,404.52,237.19,,,463.59,609.04,,,,,1504.46,794.08,306.91,323.53,323.17,996.92,,279.97
2016-07-05,347.96,404.97,237.26,39.383853912353516,96.21858978271484,464.22,610.66,101.44975280761719,112.12679290771484,95.2518539428711,129.47000122070312,1507.72,790.39,307.24,323.53,323.48,1004.38,16.32550048828125,279.88
2016-07-06,347.51,405.12,237.18,39.65766525268555,96.19239044189453,464.42,611.17,102.28085327148438,112.08293914794922,95.42156219482422,130.22999572753906,1492.21,786.54,306.9,323.52,323.36,997.18,16.61870002746582,279.89
2016-07-07,347.63,404.7,237.29,39.65766525268555,96.21858978271484,463.84,609.65,102.58306121826172,112.05659484863281,95.43695831298828,129.74000549316406,1497.38,794.29,306.77,323.51,323.2,1005.39,16.020000457763672,279.94
2016-07-08,,,,40.278316497802734,96.20985412597656,,,104.169677734375,112.08293914794922,95.96929931640625,130.52000427246094,,,,,,,16.02989959716797,
2016-07-10,348.29,404.96,237.34,,,464.2,610.66,,,,,1517.81,805.38,307.42,323.48,323.68,1013.46,,279.89
2016-07-11,348.51,404.64,237.35,40.51563262939453,96.19239044189453,463.77,609.62,104.76468658447266,111.69646453857422,95.72241973876953,129.2899932861328,1524.25,809.91,307.83,323.48,323.8,1015.63,15.699999809265137,279.9
2016-07-12,348.17,403.93,237.37,40.84419631958008,96.2011489868164,462.81,607.15,105.29356384277344,111.40664672851562,95.18240356445312,127.1500015258789,1524.4,817.3,307.63,323.47,323.2,1015.8,16.430400848388672,279.92
2016-07-13,348.23,404.08,237.38,40.85332107543945,96.19239044189453,463.0,607.62,105.03856658935547,111.51205444335938,95.55272674560547,128.32000732421875,1522.1,814.84,307.79,323.45,323.49,1015.01,15.744000434875488,279.95
2016-07-14,348.07,403.85,237.43,41.118011474609375,96.19239044189453,462.67,606.79,105.75633239746094,111.32759857177734,95.32130432128906,127.33000183105469,1531.52,818.49,307.66,323.48,323.34,1021.85,15.989899635314941,279.99
2016-07-15,,,,41.08151626586914,96.2011489868164,,,105.58631134033203,111.11685180664062,94.95868682861328,126.83999633789062,,,,,,,16.06559944152832,
2016-07-17,347.82,403.62,237.55,,,462.37,606.12,,,,,1523.82,818.19,308.03,323.46,323.66,1018.88,,279.97
2016-07-18,347.72,403.63,237.54,41.35533142089844,96.2011489868164,462.4,606.11,106.2851791381836,111.1431655883789,94.95868682861328,127.04000091552734,1517.64,818.42,308.33,323.43,323.31,1013.42,15.864299774169922,279.96
2016-07-19,347.52,403.85,237.44,41.26404571533203,96.19239044189453,462.68,606.77,105.89795684814453,111.3012924194336,95.12840270996094,127.20999908447266,1533.41,823.42,308.84,323.43,323.86,1050.7,15.6899995803833,280.0
2016-07-20,347.35,403.69,237.36,41.80255126953125,96.19239044189453,462.48,606.3,107.13517761230469,111.16954803466797,95.09757232666016,125.38999938964844,1541.89,829.73,309.04,323.44,324.23,1056.29,15.899399757385254,279.92
2016-07-21,347.2,403.34,237.33,41.583499908447266,96.2011489868164,461.99,605.04,106.88959503173828,111.36273956298828,95.20552825927734,127.30000305175781,1540.28,827.2,308.97,323.44,324.18,1052.59,15.479999542236328,280.02
2016-07-22,,,,41.82994079589844,96.19239044189453,,,107.3334732055664,111.25740814208984,95.15155029296875,126.3499984741211,,,,,,,15.140000343322754,
2016-07-24,347.78,403.79,237.28,,,462.59,606.6,,,,,1548.53,826.51,309.34,323.44,324.38,1055.66,,280.03
2016-07-25,347.53,403.89,237.27,41.77517318725586,96.2011489868164,462.73,606.87,107.34294128417969,111.1431655883789,95.09757232666016,125.47000122070312,1547.62,833.86,309.67,323.47,324.71,1058.14,15.02280044555664,279.99
2016-07-26,346.83,403.8,237.17,41.866455078125,96.19239044189453,462.6,606.67,107.46574401855469,111.16954803466797,95.00498962402344,126.0,1545.32,835.25,309.3,323.43,324.68,1060.03,14.939000129699707,280.01
2016-07-27,347.02,403.88,237.18,42.213279724121094,96.20985412597656,462.71,606.91,108.2117919921875,111.4417724609375,95.3984146118164,128.02999877929688,1556.73,836.36,309.33,323.45,324.37,1077.21,14.580300331115723,280.04
2016-07-28,347.42,403.93,237.25,42.24065017700195,96.2011489868164,462.78,606.96,108.58959197998047,111.51205444335938,95.30587005615234,127.66000366210938,1557.03,830.44,309.43,323.5,324.46,1082.22,14.319999694824219,280.0
2016-07-29,,,,42.39583206176758,96.21858978271484,,,108.82568359375,111.7930908203125,95.6529541015625,128.97999572753906,,,,,,,14.406900405883789,
2016-07-31,348.63,404.71,237.27,,,463.83,609.66,,,,,1569.01,835.75,309.91,323.48,324.82,1088.6,,280.01
2016-08-01,347.77,404.41,237.19,42.477962493896484,96.21856689453125,463.41,608.56,109.40177917480469,111.62165832519531,95.11388397216797,129.22000122070312,1573.26,840.53,309.45,323.48,324.63,1086.21,13.942999839782715,280.08
2016-08-02,346.51,403.79,236.94,42.15851974487305,96.21856689453125,462.57,606.5,108.57066345214844,111.50736999511719,94.5802230834961,130.27000427246094,1549.92,835.9,308.83,323.45,323.91,1067.36,13.789999961853027,280.09
2016-08-03,345.93,403.84,236.86,42.30454635620117,96.20116424560547,462.63,606.65,108.92957305908203,111.60408782958984,94.70394897460938,129.64999389648438,1525.38,833.67,308.56,323.47,323.61,1044.12,14.1899995803833,280.1
2016-08-04,347.03,404.13,236.88,42.53273391723633,96.227294921875,463.03,607.62,109.24124145507812,111.76233673095703,95.10613250732422,129.8699951171875,1534.81,838.82,308.62,323.45,323.59,1051.34,14.544500350952148,280.08
2016-08-05,,,,42.94345474243164,96.20985412597656,,,110.2895278930664,111.25237274169922,94.71941375732422,127.55000305175781,,,,,,,14.590299606323242,
2016-08-07,345.8,403.41,236.77,,,462.05,605.22,,,,,1559.23,847.98,308.61,323.44,323.52,1069.06,,280.11
2016-08-08,345.23,403.19,236.74,42.934326171875,96.19242858886719,461.78,604.48,110.16676330566406,111.19963836669922,94.7812728881836,127.44000244140625,1558.55,851.79,308.56,323.5,323.47,1072.62,14.909299850463867,280.01
2016-08-09,344.93,403.35,236.71,43.025596618652344,96.20985412597656,462.0,604.98,110.42174530029297,111.43702697753906,95.33819580078125,127.95999908447266,1551.32,855.15,308.74,323.48,323.53,1067.35,14.915900230407715,280.03
2016-08-10,345.06,403.62,236.77,42.88868713378906,96.21856689453125,462.35,605.88,110.138427734375,111.59526824951172,95.60890197753906,128.55999755859375,1547.79,860.88,309.02,323.46,323.73,1067.55,14.528599739074707,280.08
2016-08-11,344.47,403.73,236.72,43.04386520385742,96.227294921875,462.5,606.27,110.61065673828125,111.23480987548828,95.29177856445312,127.66999816894531,1551.4,865.49,308.96,323.46,323.52,1067.76,15.060600280761719,280.08
2016-08-12,,,,42.99822235107422,96.21856689453125,,,110.68619537353516,111.50736999511719,95.72494506835938,127.4000015258789,,,,,,,15.355400085449219,
2016-08-15,343.71,403.62,236.76,43.208152770996094,96.227294921875,462.34,605.9,111.15840911865234,111.32276153564453,95.43102264404297,127.83999633789062,1560.19,868.07,308.81,323.47,323.34,1077.12,15.25629997253418,280.09
2016-08-16,344.51,403.43,237.24,42.88868713378906,96.227294921875,462.09,605.3,110.5445327758789,111.16449737548828,95.26085662841797,128.47000122070312,1546.85,863.27,308.98,323.47,323.55,1069.72,15.960100173950195,280.07
2016-08-17,345.28,403.88,237.44,42.87043762207031,96.20985412597656,462.66,606.6,110.74286651611328,111.26995849609375,95.52383422851562,128.5,1544.54,858.74,308.94,323.58,323.64,1066.65,16.190000534057617,280.21
2016-08-18,344.85,403.78,237.42,42.88868713378906,96.23600006103516,462.53,606.38,110.77117919921875,111.4194564819336,95.7558822631836,129.11000061035156,1543.54,859.33,309.45,323.51,324.21,1066.5,16.539100646972656,280.16
2016-08-19,,,,42.91606903076172,96.23600006103516,,,110.74286651611328,111.15569305419922,95.46967315673828,127.97000122070312,,,,,,,16.469999313354492,
2016-08-21,345.19,403.74,237.5,,,462.49,606.32,,,,,1547.65,864.85,309.47,323.47,324.09,1076.7,,280.15
2016-08-22,345.05,403.62,237.53,42.91606903076172,96.23600006103516,462.32,605.98,110.82783508300781,111.31396484375,95.7945556640625,127.77999877929688,1539.35,869.29,309.41,323.44,324.02,1076.11,15.979999542236328,280.15
2016-08-23,345.63,403.71,237.59,43.07122802734375,96.21856689453125,462.44,606.25,111.02616882324219,111.32276153564453,95.90284729003906,127.76000213623047,1558.98,881.29,309.43,323.47,324.28,1097.7,16.0,280.17
2016-08-24,346.08,403.65,237.65,42.833919525146484,96.21856689453125,462.36,606.03,110.30844116210938,111.32276153564453,95.84095001220703,126.33999633789062,1575.31,882.56,309.7,323.48,324.65,1103.64,15.829999923706055,280.18
2016-08-25,346.23,403.49,237.69,42.925193786621094,96.21856689453125,462.14,605.56,110.12897491455078,111.15569305419922,95.7481460571289,126.2300033569336,1598.61,879.89,309.81,323.45,324.98,1115.77,15.94540023803711,280.16
2016-08-26,,,,42.94345474243164,96.21856689453125,,,110.2895278930664,110.83917999267578,95.44650268554688,126.05000305175781,,,,,,,16.108999252319336,
2016-08-28,345.93,402.98,237.68,,,461.46,604.05,,,,,1594.85,877.07,309.64,323.41,324.73,1116.04,,280.15
2016-08-29,346.37,402.88,237.82,43.107749938964844,96.227294921875,461.31,603.85,110.44065856933594,111.11174774169922,95.98788452148438,126.30000305175781,1584.48,868.39,309.63,323.39,324.82,1106.26,15.853099822998047,280.18
2016-08-30,346.57,403.19,237.98,42.96170425415039,96.21856689453125,461.71,604.68,110.08177185058594,111.10296630859375,95.86415100097656,125.02999877929688,1586.43,867.99,309.95,323.48,325.17,1110.91,15.6899995803833,280.23
2016-08-31,346.46,403.06,237.95,42.88868713378906,96.21856689453125,461.54,604.31,109.96843719482422,110.98863983154297,95.82547760009766,124.77999877929688,1576.05,865.19,309.74,323.47,325.01,1098.24,15.122400283813477,280.22
2016-09-01,345.99,403.0,237.87,43.025596618652344,96.21245574951172,461.45,604.01,110.25176239013672,111.12330627441406,95.82545471191406,125.29000091552734,1558.92,856.15,309.52,323.46,324.97,1080.63,14.65999984741211,280.25
2016-09-02,,,,43.217254638671875,96.20378112792969,,,110.61065673828125,111.0265121459961,95.65487670898438,126.56999969482422,,,,,,,14.979999542236328,
2016-09-04,345.96,403.03,237.89,,,461.49,604.12,,,,,1556.91,856.92,309.28,323.48,324.76,1076.67,,280.25
2016-09-05,345.49,402.94,237.85,,,461.35,603.64,,,,,1561.15,859.97,309.45,323.45,324.92,1078.61,,280.31
2016-09-06,345.51,403.18,237.87,43.43632888793945,96.24730682373047,461.67,604.34,111.3000717163086,111.39612579345703,95.98832702636719,128.7100067138672,1551.82,863.03,309.38,323.46,324.72,1074.93,15.06350040435791,280.35
2016-09-07,346.24,403.8,237.83,43.54584503173828,96.22991180419922,462.5,606.36,111.36616516113281,111.36973571777344,95.85650634765625,128.27000427246094,1561.57,871.92,309.63,323.46,325.15,1083.77,15.44789981842041,280.37
2016-09-08,346.0,403.86,237.79,43.18988800048828,96.22120666503906,462.58,606.51,110.71450805664062,111.0793228149414,95.18185424804688,127.58999633789062,1561.95,869.11,309.48,323.48,324.99,1085.02,16.02090072631836,280.35
2016-09-09,,,,42.131141662597656,96.22991180419922,,,107.92848205566406,110.85042572021484,94.46839141845703,126.75,,,,,,,15.66100025177002,
2016-09-11,344.32,402.61,237.75,,,460.91,602.69,,,,,1528.72,848.99,308.81,323.47,324.42,1062.85,,280.31
2016-09-12,344.94,402.57,237.69,42.833919525146484,96.21245574951172,460.85,602.47,109.86453247070312,110.9384994506836,94.47612762451172,126.58999633789062,1504.66,846.38,308.21,323.48,323.45,1049.7,15.300000190734863,280.32
2016-09-13,345.36,402.8,237.68,42.523597717285156,96.22120666503906,461.16,603.16,108.88235473632812,110.78006744384766,94.16593933105469,125.75,1479.22,841.46,308.56,323.45,323.81,1034.91,15.201000213623047,280.31
2016-09-14,345.05,403.01,237.69,42.72440719604492,96.20378112792969,461.44,603.86,109.40177917480469,110.9384994506836,94.22799682617188,126.18000030517578,1463.37,836.6,308.15,323.47,323.33,1026.09,14.80459976196289,280.33
2016-09-15,344.62,402.78,237.71,43.42720413208008,96.21245574951172,461.18,603.33,111.10171508789062,111.07049560546875,94.29003143310547,125.37000274658203,1489.0,839.55,308.07,323.45,323.18,1033.06,14.960000038146973,280.19
2016-09-16,,,,43.26771545410156,96.23861694335938,,,111.0487060546875,111.06172943115234,94.3985824584961,125.05999755859375,,,,,,,14.68220043182373,
2016-09-18,344.16,403.18,236.96,,,461.7,604.52,,,,,1501.31,849.9,308.16,323.44,322.87,1042.75,,280.24
2016-09-19,343.76,403.17,236.96,43.18523025512695,96.22991180419922,461.67,604.35,110.56586456298828,110.97370910644531,94.36759948730469,125.31999969482422,1500.06,856.21,307.81,323.55,322.38,1043.87,14.708900451660156,280.27
2016-09-20,343.21,403.18,236.99,43.15774917602539,96.2647933959961,461.68,604.39,110.77415466308594,111.0265121459961,94.49163818359375,125.44000244140625,1474.79,853.25,307.44,323.49,321.63,1027.8,14.75,280.31
2016-09-21,342.14,402.86,236.94,43.64349365234375,96.2647933959961,461.26,603.3,111.86295318603516,111.0793228149414,94.97245025634766,127.2699966430664,1473.94,852.35,307.11,323.51,320.86,1027.16,15.163299560546875,280.28
2016-09-22,343.64,403.72,237.02,43.909278869628906,96.2647933959961,462.42,606.02,112.75292205810547,111.16731262207031,95.36019134521484,127.56999969482422,1502.08,864.85,307.89,323.5,321.7,1048.15,15.369999885559082,280.28
2016-09-23,,,,43.52435302734375,96.29095458984375,,,112.03337860107422,111.24652099609375,95.2903823852539,127.6500015258789,,,,,,,14.851499557495117,
