,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2014-07-07,335.3,373.25,245.38,34.27833557128906,95.95036315917969,421.95,518.37,88.16495513916016,103.52483367919922,85.20410919189453,127.0199966430664,1876.38,881.3,293.9,318.95,313.87,1332.94,45.66189956665039,279.02
2014-07-08,335.07,373.36,245.22,33.97062683105469,95.95036315917969,422.17,518.52,87.10226440429688,103.6872787475586,85.5214614868164,127.06999969482422,1847.0,865.02,292.38,318.98,311.95,1303.9,45.5359001159668,278.73
2014-07-09,335.76,373.89,245.25,34.13766860961914,95.95036315917969,422.88,520.17,87.74910736083984,103.74705505371094,85.65849304199219,127.83999633789062,1874.59,873.47,293.21,319.04,312.98,1323.36,45.11399841308594,278.73
2014-07-10,336.57,374.44,245.3,34.04096984863281,95.94168853759766,423.59,521.53,87.4719009399414,103.89237976074219,85.59358978271484,128.5399932861328,1864.7,872.16,294.28,319.21,314.18,1321.01,45.41659927368164,278.75
2014-07-11,,,,34.21680450439453,95.94168853759766,,,88.03555297851562,103.97785949707031,85.86043548583984,128.77999877929688,,,,,,,44.536598205566406,
2014-07-13,336.21,374.7,245.19,,,423.92,522.25,,,,,1902.09,883.06,294.7,319.2,314.62,1347.16,,278.81
2014-07-14,336.4,374.78,245.22,34.46296310424805,95.95036315917969,424.01,522.26,88.56229400634766,103.84112548828125,85.68014526367188,125.72000122070312,1934.67,891.56,294.9,319.25,314.98,1366.93,44.73310089111328,278.88
2014-07-15,336.84,375.11,245.18,34.40141677856445,95.95036315917969,424.43,523.21,88.25733947753906,103.74705505371094,85.58641052246094,124.52999877929688,1936.55,890.3,295.22,319.29,315.36,1370.11,44.293399810791016,278.93
2014-07-16,336.79,374.64,245.43,34.717918395996094,95.95036315917969,423.85,522.05,88.60848999023438,103.72998809814453,85.78827667236328,124.97000122070312,1949.27,892.27,295.19,319.22,315.24,1377.17,44.57279968261719,278.78
2014-07-17,337.89,375.18,245.39,34.269535064697266,95.95036315917969,424.54,523.52,87.43492126464844,104.02062225341797,86.1129150390625,127.08999633789062,1948.21,891.7,295.64,319.29,316.1,1380.08,44.951698303222656,278.9
2014-07-18,,,,34.68274688720703,95.95036315917969,,,88.82101440429688,103.84967041015625,85.9974594116211,126.12999725341797,,,,,,,44.80139923095703,
2014-07-20,337.31,374.97,245.26,,,424.27,522.77,,,,,1913.16,876.42,294.95,319.31,315.16,1354.82,,278.85
2014-07-21,337.52,375.1,245.33,34.638790130615234,95.95036315917969,424.44,522.95,88.71015167236328,103.8240737915039,85.9974594116211,126.33999633789062,1922.88,882.62,295.11,319.33,315.29,1361.81,45.18280029296875,278.88
2014-07-22,337.8,375.28,245.25,34.92890930175781,95.94168853759766,424.69,523.54,89.27381134033203,103.9437255859375,86.0623779296875,125.73999786376953,1925.1,882.9,295.43,319.33,315.51,1360.34,44.991798400878906,278.84
2014-07-23,338.29,375.75,245.2,34.990447998046875,95.95036315917969,425.3,524.93,89.84674072265625,103.96930694580078,86.16337585449219,125.62000274658203,1925.37,880.75,296.14,319.4,316.44,1357.2,45.19879913330078,278.86
2014-07-24,338.35,375.99,245.16,34.964088439941406,95.95036315917969,425.62,525.77,89.7450942993164,103.69579315185547,85.8243637084961,124.3499984741211,1927.97,880.07,296.29,319.41,316.51,1356.43,44.8224983215332,278.86
2014-07-25,,,,34.92012405395508,95.94168853759766,,,89.39393615722656,103.84112548828125,86.15613555908203,125.79000091552734,,,,,,,44.93450164794922,
2014-07-27,338.64,376.43,245.13,,,426.22,527.19,,,,,1915.2,874.14,296.33,319.43,316.47,1348.41,,278.82
2014-07-28,339.54,377.18,245.21,34.98166275024414,95.94168853759766,427.19,529.16,89.4216537475586,103.78131103515625,86.05516815185547,125.58000183105469,1915.79,872.08,296.84,319.65,316.9,1349.37,44.61040115356445,278.89
